playername,team,flag_reason,metric_value,last_test_date
PLAYER_001,"Group: WLAX , Group: WLAX Spring '24, Team: SBU WLAX",CMJ height drop 13.4% vs baseline,0.1976,2022-08-26
PLAYER_001,"Group: WLAX , Group: WLAX Spring '24, Team: SBU WLAX",CMJ height drop 48.6% vs baseline,0.1095,2022-08-26
PLAYER_001,"Group: WLAX , Group: WLAX Spring '24, Team: SBU WLAX",RSI drop 14.2% vs baseline,0.5,2022-08-26
PLAYER_001,"Group: WLAX , Group: WLAX Spring '24, Team: SBU WLAX",CMJ height drop 60.3% vs baseline,0.0709,2022-11-15
PLAYER_001,"Group: WLAX , Group: WLAX Spring '24, Team: SBU WLAX",RSI drop 11.1% vs baseline,0.5283,2023-09-19
PLAYER_001,"Group: WLAX , Group: WLAX Spring '24, Team: SBU WLAX",RSI drop 18.9% vs baseline,0.5039,2023-09-19
PLAYER_001,"Group: WLAX , Group: WLAX Spring '24, Team: SBU WLAX",RSI drop 15.2% vs baseline,0.4934,2023-09-26
PLAYER_001,"Group: WLAX , Group: WLAX Spring '24, Team: SBU WLAX",CMJ height drop 11.8% vs baseline,0.2179,2023-10-24
PLAYER_001,"Group: WLAX , Group: WLAX Spring '24, Team: SBU WLAX",RSI drop 10.2% vs baseline,0.5325,2023-11-09
PLAYER_001,"Group: WLAX , Group: WLAX Spring '24, Team: SBU WLAX",RSI drop 10.4% vs baseline,0.5117,2023-11-10
PLAYER_001,"Group: WLAX , Group: WLAX Spring '24, Team: SBU WLAX",RSI drop 12.6% vs baseline,0.502,2024-01-25
PLAYER_001,"Group: WLAX , Group: WLAX Spring '24, Team: SBU WLAX",RSI drop 21.2% vs baseline,0.4665,2024-02-06
PLAYER_001,"Group: WLAX , Group: WLAX Spring '24, Team: SBU WLAX",CMJ height drop 12.7% vs baseline,0.2301,2024-04-18
PLAYER_001,"Group: WLAX , Group: WLAX Spring '24, Team: SBU WLAX",CMJ height drop 16.5% vs baseline,0.2383,2024-04-23
PLAYER_001,"Group: WLAX , Group: WLAX Spring '24, Team: SBU WLAX",CMJ height drop 12.4% vs baseline,0.2464,2024-04-23
PLAYER_001,"Group: WLAX , Group: WLAX Spring '24, Team: SBU WLAX",CMJ height drop 26.0% vs baseline,0.1984,2024-04-23
PLAYER_001,"Group: WLAX , Group: WLAX Spring '24, Team: SBU WLAX",RSI drop 16.0% vs baseline,0.4831,2024-04-23
